Id,SalePrice
1461,118299.41839148059
1462,161210.25108196482
1463,180977.75126962844
1464,185467.93863748774
1465,202236.675291002
1466,170348.07793026586
1467,164062.2928048645
1468,156928.3811788752
1469,189397.37892531054
1470,126960.21392556815
1471,209193.1661562011
1472,95088.79981342981
1473,92760.2932332484
1474,153434.01115631283
1475,136192.28241114746
1476,413135.89530725934
1477,257871.11502947612
1478,284100.0498452571
1479,266490.3609355765
1480,624903.0463476705
1481,323549.9406349658
1482,215997.19553852765
1483,175584.10922798188
1484,176842.80489088234
1485,178698.95275243933
1486,188894.87057879727
1487,369737.7298256192
1488,240105.8866415947
1489,200187.06053921455
1490,206219.35847897927
1491,189092.603323336
1492,89363.13921328334
1493,187946.0845414355
1494,293751.88060094265
1495,293882.66411442164
1496,247885.70245862968
1497,181361.80272070435
1498,173915.11126651923
1499,170869.36433503855
1500,151134.83912161965
1501,172987.02038917967
1502,164179.81276274976
1503,289257.7960799554
1504,242370.50269581727
1505,217967.3024518684
1506,194885.80491474117
1507,235145.89002629797
1508,202232.1360768582
1509,157274.71814400813
1510,147526.07353372738
1511,143693.565118551
1512,175663.38109957014
1513,145394.33996980215
1514,166437.13393760382
1515,194285.7262348329
1516,167149.28929832383
1517,162185.45377471994
1518,137147.5241986076
1519,236411.96655733074
1520,135489.90048727748
1521,136225.79116632754
1522,166849.95582937842
1523,110624.7647317039
1524,125333.1048770401
1525,122445.36126654441
1526,123617.59246057723
1527,107627.66246971054
1528,133788.7634441538
1529,146570.78144122148
1530,185839.07356705685
1531,100661.1917151203
1532,104684.58536223319
1533,141894.04555765708
1534,118084.05817305062
1535,161675.1188892652
1536,113003.80204744023
1537,65546.76620621276
1538,187310.43006966967
1539,225639.18436600457
1540,76053.93367162172
1541,136596.6307732495
1542,138755.23199430807
1543,215150.57562933821
1544,85590.49981763896
1545,97435.16702503662
1546,123396.9648199058
1547,123178.03338332895
1548,127710.38886706681
1549,112467.59004037833
1550,136879.61546905627
1551,114494.27107179849
1552,126025.35367696173
1553,158415.24539655453
1554,107123.66837581176
1555,168712.02306119647
1556,77248.12243155735
1557,118830.88246922009
1558,94077.23141398569
1559,78099.83573727601
1560,146961.0772445425
1561,142723.28609991097
1562,128499.10322487573
1563,124665.48972372674
1564,160857.85592329412
1565,144394.31795556674
1566,227397.49356915188
1567,81295.2702040405
1568,226685.1613820609
1569,135899.8203851602
1570,124250.41154575335
1571,125943.6269508484
1572,150047.9698360104
1573,267951.67755474115
1574,123625.68378323418
1575,228761.77537490675
1576,220926.47887482186
1577,198395.73122528708
1578,146205.79301900876
1579,143323.56690002725
1580,186788.71852626727
